iter	Passed	Remaining
819	9976	2189
820	9987	2177
821	9997	2165
822	10009	2152
823	10021	2140
824	10034	2128
825	10046	2116
826	10059	2104
827	10072	2092
828	10084	2080
829	10095	2067
830	10107	2055
831	10117	2042
832	10128	2030
833	10140	2018
834	10152	2006
835	10164	1994
836	10177	1982
837	10190	1970
838	10202	1957
839	10215	1945
840	10227	1933
841	10240	1921
842	10251	1909
843	10263	1897
844	10276	1885
845	10287	1872
846	10299	1860
847	10311	1848
848	10323	1836
849	10335	1823
850	10347	1811
851	10357	1799
852	10370	1787
853	10382	1775
854	10395	1763
855	10408	1750
856	10419	1738
857	10432	1726
858	10444	1714
859	10456	1702
860	10468	1690
861	10480	1677
862	10491	1665
863	10503	1653
864	10516	1641
865	10528	1629
866	10539	1616
867	10550	1604
868	10563	1592
869	10576	1580
870	10589	1568
871	10599	1555
872	10611	1543
873	10623	1531
874	10636	1519
875	10648	1507
876	10659	1494
877	10670	1482
878	10682	1470
879	10695	1458
880	10707	1446
881	10717	1433
882	10729	1421
883	10741	1409
884	10754	1397
885	10766	1385
886	10776	1372
887	10788	1360
888	10799	1348
889	10812	1336
890	10826	1324
891	10837	1312
892	10849	1300
893	10861	1287
894	10874	1275
895	10884	1263
896	10894	1251
897	10905	1238
898	10916	1226
899	10929	1214
900	10942	1202
901	10953	1190
902	10964	1177
903	10977	1165
904	10989	1153
905	11003	1141
906	11015	1129
907	11028	1117
908	11040	1105
909	11054	1093
910	11065	1081
911	11076	1068
912	11088	1056
913	11101	1044
914	11115	1032
915	11129	1020
916	11141	1008
917	11152	996
918	11163	983
919	11176	971
920	11186	959
921	11197	947
922	11209	935
923	11223	923
924	11235	911
925	11246	898
926	11257	886
927	11268	874
928	11281	862
929	11293	850
930	11303	837
931	11313	825
932	11325	813
933	11339	801
934	11351	789
935	11365	777
936	11377	764
937	11391	752
938	11404	740
939	11418	728
940	11430	716
941	11441	704
942	11453	692
943	11464	680
944	11477	667
945	11488	655
946	11499	643
947	11512	631
948	11524	619
949	11535	607
950	11547	594
951	11559	582
952	11571	570
953	11584	558
954	11596	546
955	11607	534
956	11618	522
957	11631	509
958	11643	497
959	11655	485
960	11667	473
961	11678	461
962	11690	449
963	11703	437
964	11714	424
965	11726	412
966	11738	400
967	11750	388
968	11762	376
969	11774	364
970	11785	351
971	11795	339
972	11807	327
973	11820	315
974	11832	303
975	11843	291
976	11854	279
977	11864	266
978	11877	254
979	11890	242
980	11901	230
981	11912	218
982	11925	206
983	11937	194
984	11949	181
985	11960	169
986	11972	157
987	11983	145
988	11997	133
989	12010	121
990	12022	109
991	12032	97
992	12044	84
993	12057	72
994	12068	60
995	12080	48
996	12092	36
997	12104	24
998	12116	12
999	12127	0
